,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T11,0.0192997622885584,0.048847467799072945,0.15682216806211324,-0.16802087004349273,0.0774740470984867,0.15306066005586452,0.18108695999857968,0.23533476072483644,0.11526210546600574,0.29781202735669887,1.0,0.3160712280037725,0.17665383267848506,0.08475389019892997,0.09567836007048529,-0.13889112134312845,-0.008329989140010008,-0.005952392429848195,-0.0029520638635024436,0.10355760219962405,0.1115902207854995,0.08726656475093132,0.1593230149576476,-0.0666325133658481,-0.08482513133654906,0.2386407695814715,0.15768029604034858,0.18358735031290202,0.16819697545935788,0.13570868449537343,0.20768783845774963,0.06390627599357764,0.23318881557768525,0.2521124320759311,0.31715797858652206,0.07513233075409977,0.12215465452314961,0.216628140602778,0.3258991677072729,0.3674370583517982,0.1608198883483766,0.3122931629105246,0.24359740609662361,0.43595301678913595,0.13766074556596467,0.00574887487474422,0.22392150919537823,0.21399870892747067,0.24813829526353384,0.054279737193477354,0.24043607348822071,0.23077588540015156,0.2632126354816074,0.13743651687515623,0.36886555780538505,0.19847508958768137,0.24875363789846977,0.22362707449150135,0.020075202361761704,0.2476330857238698
T12,-0.2816042394186002,-0.012326232063131316,0.2904382605235698,0.16430067507603616,0.08896304434583303,0.23341038333596004,0.02161113090531942,0.1244856987123716,-0.16771710546764998,0.44691359165224753,0.3160712280037725,1.0,0.4676150508242046,0.3827003387580608,0.1797049600983663,-0.1610739372300397,0.11564554871685066,-0.13689310648713204,-0.1111219706926924,-0.044882169956092,-0.1750054668016059,0.17947774165404756,-0.05954294706474299,-0.07680402677888493,0.30663380437784593,0.12617925448837478,0.10491102337752434,-0.12062326991976467,0.1731967029155069,0.10226970274192518,0.218892025414227,0.08701794526010506,0.24888151568137568,0.3075966712684575,0.38939367391054047,0.21577991309269262,0.16945929074732288,0.06362782615079886,0.17289223674744225,0.1717463128504974,0.06169298085015367,0.23829352351483038,0.4146664207434321,0.3206688902798081,0.33178078154443746,0.07735709641590709,0.3429118477117168,0.15316195505583544,0.228688364374692,0.030961481683536435,0.13901208885346214,0.07048819986857827,0.14940199754033864,0.2067305494313997,0.324228468070169,0.03747749898858488,0.18681258830522843,0.25120743478677854,-0.00655387178550715,0.22581869064398657
T13,-0.13924332676237466,0.012906052772485662,0.09949823716123823,-0.003452737036350488,-0.04492999967867457,0.055644562310757435,-0.06477659908672039,0.13214611925690517,-0.12503628199882275,0.23614320480483264,0.17665383267848506,0.4676150508242046,1.0,0.02607400371233997,0.013686980749506332,0.024136300287395045,0.03667973331598255,0.023076947259107358,-0.1395969727317888,0.16031186735078673,0.0837849994372777,0.18876015584989422,-0.053506980517147126,0.14184419817112187,0.21521553287240602,0.2143993384359733,0.05168711641811979,0.07001956152999612,0.046172974704164725,0.03351284134513944,0.07979909363568687,0.014581957732274544,0.16206505259264653,0.024634778805476126,0.20690520286824457,0.26756189185063933,-0.07353628525872787,0.16550973413812392,0.035231587828681535,0.1846699968022003,0.1393833424178215,0.16941390588340025,0.32089592557218377,0.1730280586929487,0.03902924336283217,-0.04265325636051876,0.1392072689757188,0.08828043696434694,0.11509661659131265,0.13769628346762458,0.3181317232731256,0.31205231508252673,0.31484220104665833,0.07143031950472863,0.292094335210002,0.14286736926538796,0.23203090972193846,0.20421476988706716,0.039506208780535054,0.19104572309980858
T14,-0.09862797786191892,0.12024156467507237,0.17626311462550306,0.3106023646052554,0.08153344514757613,0.16869435827453283,0.15120148642340728,0.13135117480935046,-0.0938789314912188,0.3063769794224217,0.08475389019892997,0.3827003387580608,0.02607400371233997,1.0,0.11553546806082508,-0.09930574693212964,0.006755053634657353,-0.2789151667033794,4.239089420334429e-17,0.03365676355246122,0.11792304129574409,0.14058645518422927,-0.03887987268384142,0.0015404633145155431,0.36818791830737807,-0.023865120311235968,0.08736631291637204,-0.11821433236181254,0.03246437924259063,0.0747275887617288,0.13668656414158017,0.07121359897008342,0.09517173317886826,0.18275135636275638,0.24239604621747163,0.29646184742740767,0.14452590359412287,0.05330898552347168,0.2335533230110918,0.18542014855831043,-0.14965995342642915,0.2149623848736827,0.19767165434324507,0.2855946475000752,0.2613096523423307,0.20750424207199683,0.4495008816269217,0.07333737071065238,0.10931788486084341,-0.1295440895212323,-0.1634678885139774,-0.07848765372470257,0.16178491745986384,0.1751153497755643,0.2566854911679487,0.20929030361510745,0.22924992582616535,0.3597321160801462,0.2028905048990649,0.02467326513493725
T15,-0.04360566951004304,0.02458180374891964,0.15819216199788613,0.24174969176654076,0.22973870912289993,0.1674509137261051,-0.045756915953662256,0.03506090499139387,-0.03311255018014133,-0.03737211371476732,0.09567836007048529,0.1797049600983663,0.013686980749506332,0.11553546806082508,1.0,-0.08374040071767774,-0.07552592126562507,0.019708838659848522,-0.11358001456726255,-0.10858366316916342,-0.06247806087353422,0.10214713352470635,0.13376009367629507,-0.21357277122250204,0.07888447099584339,-0.0011151792985974684,0.06021672041688843,-0.10554140462577125,0.05313258997084199,0.07961536433522329,-0.1097056460246638,-0.07720261131279112,-0.036520873378912515,-0.0797719680449862,0.04530713430785909,0.03470082359356329,0.10071768029746697,-0.029571640055546786,0.10583972094359675,0.1323783936418728,0.17716544281969404,-0.07255461035570163,0.16140238596495268,0.2738571316776084,0.24986505531748376,0.13102028586180092,0.13150892527095026,0.08042713520500443,0.16277165644976366,-0.08138513667130703,0.25255266623404515,-0.06431019076038624,0.11091668785252633,0.12043132737601508,0.0978358413960454,0.13561590345002034,0.037503054238871535,0.2029692046948864,0.12689293404582522,0.24880329070830198
E01,0.04675340446444028,0.13258012278987158,-0.09931770767280823,0.033191592099530196,0.05346865001535573,0.20406644772894675,0.10031934447201678,-0.012084387046695845,0.003347984799332455,-0.01665954530758038,-0.13889112134312845,-0.1610739372300397,0.024136300287395045,-0.09930574693212964,-0.08374040071767774,1.0,-0.31437286794899655,-0.13215027623514203,0.08511284851596686,0.39320801937713773,0.22358181837887373,0.18170645236914879,0.03253080827316789,0.42964474937113645,0.3161287906828895,0.09339245290208069,0.14796842364092816,0.18958886047917614,0.11389934370192344,0.12822206667443095,0.04197096334395361,0.2244655680103039,0.03826550519905203,0.11345558002516269,-0.015135553833739162,0.30035254066666517,0.3004665126473608,0.056374312690921524,0.20028286729620076,-0.013521609588014481,0.18079464658108194,0.1093073332394318,0.04600208519651742,0.05075386868200152,0.08056246588257007,0.10410378966368017,0.035286001659795695,0.08462982969032538,-0.0023088267273719885,0.23221133304227715,0.04818394694276075,0.2816997498959338,0.07959774469842769,0.14040195521413426,0.014811418188641068,0.10766735907539267,0.1509112171362844,-0.010392750390157681,0.26357132509855336,-0.05571508627268302
E02,0.1434847077031761,0.013735441872884896,0.0849398074272036,0.02315271731632547,0.006477621764454426,-0.1294557750975164,0.07834916637493966,0.20049412763487945,0.02730862482966399,-0.028532299119279434,-0.008329989140010008,0.11564554871685066,0.03667973331598255,0.006755053634657353,-0.07552592126562507,-0.31437286794899655,1.0,0.28462475159645717,-0.10567205115411876,-0.04511257924414331,0.025646233885377297,-0.19165680911032004,0.05455425927529828,-0.22867638083277456,-0.18798975404635895,-0.20196046821909763,0.010413707430050333,-0.039762251092946115,0.02092586678253267,-0.1861054443030178,-0.004320310414654164,0.027046615412786586,-0.17096631921595673,0.0636352178386854,0.03242541380844323,-0.08351919284849502,-0.20688271287789226,0.05138010260743091,-0.16948422232530078,-0.06814727874664797,-0.1934963635451732,-0.02897523316913743,-0.10491412748280508,-0.10930702468567047,-0.09464515096493209,-0.1071869680468839,-0.0005140877920747804,-0.07407589587353794,0.05468677412769918,-0.1637059957804575,-0.05170311898218355,-0.06378028303452982,-0.09091973022338816,-0.0359714542237819,0.019255614510243678,-0.1952327921289092,0.055681915550621755,-0.04282441108653394,-0.11797971291025612,0.018518981122798032
E03,0.11370119076078876,-0.08394837924180319,-0.040872891796709505,-0.10980026565170212,-0.06642256308215017,-0.3021866881657298,-0.02009619004258633,-0.021566479440247335,-0.06163981835766212,-0.15131550932108462,-0.005952392429848195,-0.13689310648713204,0.023076947259107358,-0.2789151667033794,0.019708838659848522,-0.13215027623514203,0.28462475159645717,1.0,-0.27602741111931334,-0.24032835238632305,-0.07916113459728766,-0.2968412227959627,0.06612212483371117,0.036883820503217445,-0.4403903433474597,-0.2793461234989542,-0.27715409864002777,0.04397691189952135,-0.11355547821871295,-0.15530238837177976,-0.0078106477411777,-0.0019152557102137537,-0.01573442372625717,-0.19495682628917982,-0.22957677858940162,-0.2923336690921919,-0.18137394734121792,-0.11938102850275943,-0.2572351701865045,-0.06172133998483677,-0.13254714960341957,-0.1733133912576154,-0.21925687353501444,-0.23318878215194483,0.04848245330024819,-0.10269686006141636,-0.13433399613932323,-0.04354639797401293,-0.06559103635390531,-0.24209764218101965,0.028812437830511066,-0.14071891698224331,-0.13919187732456587,-0.15363807346647637,-0.06270973121996742,-0.047244722173494284,0.05439348319299007,-0.17705431684646442,-0.16751312739806185,-0.08525025107829819
E04,0.09452404656430932,0.15057928551060246,-0.3225691736917567,-0.06855714902490757,0.05411237782120027,0.12440350822720625,0.07735269484954753,-0.09608555825184023,0.13164591386489055,-0.05622229769013021,-0.0029520638635024436,-0.1111219706926924,-0.1395969727317888,4.239089420334429e-17,-0.11358001456726255,0.08511284851596686,-0.10567205115411876,-0.27602741111931334,1.0,0.11895488193071936,0.0811274662540469,0.22118358622361048,0.018025260147431207,-0.04336841031689905,0.27030499779535894,-0.13494663131515805,0.19886110542861352,-0.045731091449939906,0.11305157354602245,0.09720704433038416,-0.0770031373819217,-0.046075335112361816,0.10256334745818178,0.11329805226741634,-0.06752929929136345,0.3082121949415388,0.026402160669648195,0.009333435965396545,0.17465942029724368,-7.414700061928667e-18,0.13208257399208378,-0.005939742666086755,0.12329976628475779,0.19240847597780025,0.045851802074939926,0.11211616352657981,0.1150497546566598,0.003146644667661398,-0.05826136142959419,0.20397286443627535,0.08774322397655403,0.10653788619112234,0.10152694280919698,0.20466597505934356,0.12520941409624292,0.2212003502057551,0.07318101442263687,0.21209529058682328,0.15788011956148243,0.108954797181902
E05,-0.05230728138673648,-0.22282638610739366,0.12544290115389756,-0.010751687049971825,-0.13371044596794998,0.02046227993170401,0.002701229825751843,0.12351150092444119,0.13298039986393842,0.06699253303405919,0.10355760219962405,-0.044882169956092,0.16031186735078673,0.03365676355246122,-0.10858366316916342,0.39320801937713773,-0.04511257924414331,-0.24032835238632305,0.11895488193071936,1.0,0.34180335914900917,0.2577206156240926,0.08611647265731229,0.21177467648440543,0.2593899305173973,0.16522996834278314,0.03360068414752404,0.13350264456557082,0.12668456182558907,0.189915747389161,-0.07525732080702154,0.14118040429566253,-0.029733039815067433,0.07840546847187149,0.17460644093716932,0.3509975501077333,0.15864606974032605,0.1090582344687353,0.22397681168852845,0.13194267685355957,0.18507369530982196,0.20082375799592336,0.10704841706469762,0.012449340587264842,-0.027463110848845666,0.123023640829975,0.09487722496187158,0.006805987227891101,0.01729234448881876,0.19991387342775802,-0.04502910328526677,0.369758486233182,0.18875789101050827,0.1348394617604792,0.14716921707310365,0.029898868545189985,0.30048343479007067,0.13291455292794757,0.13612882712618155,0.14802951937156292
E06,0.108524439243223,0.07546074209957507,-0.07192451351536013,0.1050850726784005,-0.10566124348663679,0.2515353991886417,0.060704459837346,0.16711084031825862,0.17846201817951354,-0.02900096485772258,0.1115902207854995,-0.1750054668016059,0.0837849994372777,0.11792304129574409,-0.06247806087353422,0.22358181837887373,0.025646233885377297,-0.07916113459728766,0.0811274662540469,0.34180335914900917,1.0,0.11986152984001953,0.17833749118254116,0.14946617342420826,0.19203937652820136,-0.004280172920762223,0.07287737001397912,0.2258035175033091,0.19203937652820138,0.0966703749759043,0.020112546253757344,-0.010734177089512884,-0.11582813296232396,0.20441376447871235,-0.06400868987898548,0.12434031426020803,0.20947206767976956,0.025440889590559033,0.09034662838111633,0.3461953095051682,-0.04033827953976855,0.04286608821196887,0.08204187848050544,0.14697644242876473,0.00839468481973027,0.052755236407351365,0.08018073921843094,0.006462523313859215,0.0024177051793559815,-0.04630057956858445,-0.11508886431121924,0.10000295172454568,0.10381457425917431,0.16681125611546962,0.09033579900742021,0.18077953076210956,0.09761206728325528,0.13926128977713587,0.03894960226415771,0.06918206283151485
E07,-0.04915879601789955,0.09943624712371199,0.21353110663029717,0.23028470816035487,0.07106510142825706,0.2025070715286841,0.03886487048339218,0.002634691121350833,0.11585227798420829,0.16209641732729074,0.08726656475093132,0.17947774165404756,0.18876015584989422,0.14058645518422927,0.10214713352470635,0.18170645236914879,-0.19165680911032004,-0.2968412227959627,0.22118358622361048,0.2577206156240926,0.11986152984001953,1.0,0.0761067875762482,0.2694611401850955,0.5186378916640436,0.31539275981807596,0.3880882108108541,0.11868157969136409,0.4294208939877769,0.3536426998441075,0.2725808640842252,0.23815648636905118,0.25245664075899704,0.20476326449435073,0.11950742607470397,0.4175767295816575,0.2139254169190753,0.0948207764342407,0.36122189164987245,0.20547629757861424,0.42718591067976963,0.14369655896164563,0.21756092224404355,0.347511300207439,0.28787711011728057,0.1788394989645452,0.22445817709393096,0.04907278468844975,0.022148743768045646,0.22194171278934163,0.1794494377130837,0.4640892142916737,0.41324458626604293,0.3633519672670928,0.27436624610693955,0.3313808546017896,0.2933541022274586,0.29454207437032787,0.38092435853972584,0.24637492922490212
E08,0.20026601570371474,0.05741876614706278,0.09483173024118635,-0.003343606142118488,-0.06193604676870392,0.1402569093203676,0.008415693087796142,-0.2304005879140532,-0.0907426354430434,-0.04813304977269346,0.1593230149576476,-0.05954294706474299,-0.053506980517147126,-0.03887987268384142,0.13376009367629507,0.03253080827316789,0.05455425927529828,0.06612212483371117,0.018025260147431207,0.08611647265731229,0.17833749118254116,0.0761067875762482,1.0,0.007104768519311368,0.09028726600073671,0.3142639888592853,0.24057229572565805,0.1421221456987315,0.15675693700727011,0.330249169365707,0.2426237397077365,0.0862403093872985,-0.05835661747607925,0.0018514353892212032,0.025488347366709477,0.13009348850580674,0.1795622257375136,0.1892809255099655,0.11441371061608474,0.07793103189106844,0.06908940293142354,-0.03310065198976993,-0.0197715256055609,0.26059344363051434,0.27407190601906445,0.08837298559955198,0.30098490968106634,0.3312386285961986,0.1959664970426014,-0.007051620038248058,0.10858368892862053,0.12807306112609218,0.18687790310970853,0.34262258424038633,0.24894148957080625,-0.003355730188248745,0.2006350290720788,0.07349193470272526,0.12627515337290543,0.13931282010933294
E09,0.0010547263486968797,0.07208862564335768,-0.006024424331632491,0.15993243555879086,-0.15415503732122499,-0.030915652001561947,-0.0047545935219040734,-0.05663529934539354,-0.07285627702534975,0.2642158913099593,-0.0666325133658481,-0.07680402677888493,0.14184419817112187,0.0015404633145155431,-0.21357277122250204,0.42964474937113645,-0.22867638083277456,0.036883820503217445,-0.04336841031689905,0.21177467648440543,0.14946617342420826,0.2694611401850955,0.007104768519311368,1.0,0.2331849758419425,0.21938772869479573,0.14954547276722943,0.27354225534599297,0.02634581779277229,0.08414900918923386,0.25139114464817114,0.34131095517063603,0.20251776337002023,0.11919229444418272,0.1050856232163807,0.0680728929395416,0.13234780759714543,0.28967760490548733,0.1534571875684419,0.09228024628266722,0.07542175527466852,0.2641857928844632,0.059300406647505854,0.18164904201448467,0.17326632775241607,-0.005415397499617288,-0.12789144737518493,0.02712546203514745,-0.07249634705971017,0.11692375669099843,-0.0961165299978121,0.28951332453722867,0.202202253214023,0.06623581546784477,0.12660236648392334,0.12129093691909557,0.21497167500148026,0.08769724874398473,0.23575543509507543,0.1546358525703365
